post_id,persona_id,handle,created_at,post_type,visibility,source,title,body,metrics
P001-POST-001,P001,fin_p001_folio,2026-06-20T12:03:00+09:00,saving_milestone,public,derived_from_ledger,이번 달 저축률 기록,6월 수입 대비 저축률 8.8% 달성,"{'like_count': 46, 'comment_count': 10, 'save_count': 1}"
P001-POST-002,P001,fin_p001_folio,2026-06-22T14:40:00+09:00,investment_trade,followers,derived_from_ledger,포트폴리오 업데이트,"6월 투자 매수 76,100원, 보유 종목 1개","{'like_count': 65, 'comment_count': 9, 'save_count': 16}"
P001-POST-003,P001,fin_p001_folio,2026-06-12T21:51:00+09:00,spend_pattern,followers,derived_from_ledger,소비 카테고리 회고,가장 큰 소비 카테고리는 교통,"{'like_count': 19, 'comment_count': 7, 'save_count': 12}"
P002-POST-001,P002,fin_p002_daily,2026-06-13T15:51:00+09:00,saving_milestone,public,derived_from_ledger,이번 달 저축률 기록,6월 수입 대비 저축률 10.5% 달성,"{'like_count': 68, 'comment_count': 13, 'save_count': 14}"
P002-POST-002,P002,fin_p002_daily,2026-06-29T17:57:00+09:00,investment_trade,followers,derived_from_ledger,포트폴리오 업데이트,"6월 투자 매수 39,100원, 보유 종목 1개","{'like_count': 5, 'comment_count': 14, 'save_count': 3}"
P002-POST-003,P002,fin_p002_daily,2026-06-18T11:13:00+09:00,spend_pattern,public,derived_from_ledger,소비 카테고리 회고,가장 큰 소비 카테고리는 식비,"{'like_count': 55, 'comment_count': 1, 'save_count': 0}"
P003-POST-001,P003,fin_p003_flow,2026-06-14T16:50:00+09:00,saving_milestone,public,derived_from_ledger,이번 달 저축률 기록,6월 수입 대비 저축률 34.8% 달성,"{'like_count': 66, 'comment_count': 11, 'save_count': 11}"
P003-POST-002,P003,fin_p003_flow,2026-06-13T13:48:00+09:00,investment_trade,challenge_group,derived_from_ledger,포트폴리오 업데이트,"6월 투자 매수 193,200원, 보유 종목 2개","{'like_count': 6, 'comment_count': 7, 'save_count': 15}"
P003-POST-003,P003,fin_p003_flow,2026-06-08T23:03:00+09:00,spend_pattern,challenge_group,derived_from_ledger,소비 카테고리 회고,가장 큰 소비 카테고리는 식비,"{'like_count': 60, 'comment_count': 7, 'save_count': 15}"
P004-POST-001,P004,fin_p004_save,2026-06-08T21:50:00+09:00,saving_milestone,challenge_group,derived_from_ledger,이번 달 저축률 기록,6월 수입 대비 저축률 20.3% 달성,"{'like_count': 0, 'comment_count': 4, 'save_count': 17}"
P004-POST-002,P004,fin_p004_save,2026-06-27T21:10:00+09:00,investment_trade,public,derived_from_ledger,포트폴리오 업데이트,"6월 투자 매수 696,200원, 보유 종목 2개","{'like_count': 52, 'comment_count': 1, 'save_count': 13}"
P005-POST-001,P005,fin_p005_daily,2026-06-14T18:09:00+09:00,saving_milestone,challenge_group,derived_from_ledger,이번 달 저축률 기록,6월 수입 대비 저축률 41.4% 달성,"{'like_count': 69, 'comment_count': 5, 'save_count': 6}"
P005-POST-002,P005,fin_p005_daily,2026-06-09T09:35:00+09:00,investment_trade,followers,derived_from_ledger,포트폴리오 업데이트,"6월 투자 매수 429,100원, 보유 종목 1개","{'like_count': 29, 'comment_count': 14, 'save_count': 15}"
P005-POST-003,P005,fin_p005_daily,2026-06-14T21:31:00+09:00,spend_pattern,followers,derived_from_ledger,소비 카테고리 회고,가장 큰 소비 카테고리는 생활,"{'like_count': 19, 'comment_count': 5, 'save_count': 6}"
P006-POST-001,P006,fin_p006_flow,2026-06-29T15:38:00+09:00,saving_milestone,followers,derived_from_ledger,이번 달 저축률 기록,6월 수입 대비 저축률 4.8% 달성,"{'like_count': 6, 'comment_count': 2, 'save_count': 3}"
