날짜,시간,타입,대분류,소분류,내용,금액,화폐,결제수단,메모,persona_id,transaction_id,cashflow_bucket,account_ref,api_ref
2026-06-30,23:03,지출,온라인쇼핑,인터넷쇼핑,11번가,-34500,KRW,신한 Deep Dream 체크,,P082,P082-T0081,소비,P082-CARD-01,card/카드-008-신한_Deep_Dream_체크_승인내역.json#AP082000026;card/카드-014-신한_Deep_Dream_체크_매입정보.json#AP082000026
2026-06-30,22:56,지출,온라인쇼핑,인터넷쇼핑,무신사,-51600,KRW,어피치 스윗 체크카드,,P082,P082-T0090,소비,P082-CARD-02,card/카드-008-어피치_스윗_체크카드_승인내역.json#AP082000020;card/카드-014-어피치_스윗_체크카드_매입정보.json#AP082000020
2026-06-30,19:24,지출,식비,한식,한솥도시락 신촌점,-9700,KRW,카카오페이 간편결제,,P082,P082-T0059,소비,P082-카카오페이,efinance/전금-103-카카오페이.json#EP082카00009
2026-06-30,12:02,지출,온라인쇼핑,인터넷쇼핑,무신사,-34400,KRW,신한 Deep Dream 체크,,P082,P082-T0083,소비,P082-CARD-01,card/카드-008-신한_Deep_Dream_체크_승인내역.json#AP082000027;card/카드-014-신한_Deep_Dream_체크_매입정보.json#AP082000027
2026-06-30,08:14,지출,카페/간식,디저트/떡,파리바게뜨,-5300,KRW,카카오페이 간편결제,,P082,P082-T0099,소비,P082-카카오페이,efinance/전금-103-카카오페이.json#EP082카00013
2026-06-29,21:17,지출,식비,한식,두끼 노량진역점,-13400,KRW,신한 Deep Dream 체크,,P082,P082-T0111,소비,P082-CARD-01,card/카드-008-신한_Deep_Dream_체크_승인내역.json#AP082000039;card/카드-014-신한_Deep_Dream_체크_매입정보.json#AP082000039
2026-06-29,20:56,지출,식비,한식,담소소사골순대,-15400,KRW,카카오뱅크 입출금통장,,P082,P082-T0030,소비,P082-BANK-MAIN,bank/은행-004-카카오뱅크_입출금통장_P082-BANK-MAIN.json#BP08200013
2026-06-29,19:40,지출,뷰티/미용,화장품,올리브영,-20000,KRW,토스 간편결제,,P082,P082-T0016,소비,P082-토스페이,efinance/전금-103-토스페이.json#EP082토00001
2026-06-29,14:43,지출,뷰티/미용,화장품,올리브영,-50200,KRW,카카오페이 간편결제,,P082,P082-T0055,소비,P082-카카오페이,efinance/전금-103-카카오페이.json#EP082카00008
2026-06-29,13:11,지출,생활,서비스구독,멜론,-41800,KRW,카카오뱅크 입출금통장,,P082,P082-T0069,소비,P082-BANK-MAIN,bank/은행-004-카카오뱅크_입출금통장_P082-BANK-MAIN.json#BP08200017
2026-06-29,08:42,지출,식비,한식,두끼 노량진역점,-13400,KRW,신한 Deep Dream 체크,,P082,P082-T0022,소비,P082-CARD-01,card/카드-008-신한_Deep_Dream_체크_승인내역.json#AP082000005;card/카드-014-신한_Deep_Dream_체크_매입정보.json#AP082000005
2026-06-28,23:44,지출,온라인쇼핑,인터넷쇼핑,쿠팡,-24500,KRW,신한 Deep Dream 체크,,P082,P082-T0093,소비,P082-CARD-01,card/카드-008-신한_Deep_Dream_체크_승인내역.json#AP082000031;card/카드-014-신한_Deep_Dream_체크_매입정보.json#AP082000031
2026-06-28,21:35,지출,식비,한식,김밥천국 홍대점,-27200,KRW,신한 Deep Dream 체크,,P082,P082-T0114,소비,P082-CARD-01,card/카드-008-신한_Deep_Dream_체크_승인내역.json#AP082000040;card/카드-014-신한_Deep_Dream_체크_매입정보.json#AP082000040
2026-06-28,21:00,지출,뷰티/미용,화장품,아모레몰,-42400,KRW,신한 Deep Dream 체크,,P082,P082-T0109,소비,P082-CARD-01,card/카드-008-신한_Deep_Dream_체크_승인내역.json#AP082000038;card/카드-014-신한_Deep_Dream_체크_매입정보.json#AP082000038
2026-06-28,20:03,지출,생활,마트,홈플러스,-68300,KRW,토스 간편결제,,P082,P082-T0127,소비,P082-토스페이,efinance/전금-103-토스페이.json#EP082토00012
2026-06-28,19:11,지출,뷰티/미용,화장품,아모레몰,-46900,KRW,어피치 스윗 체크카드,,P082,P082-T0137,소비,P082-CARD-02,card/카드-008-어피치_스윗_체크카드_승인내역.json#AP082000031;card/카드-014-어피치_스윗_체크카드_매입정보.json#AP082000031
2026-06-28,18:04,지출,문화/여가,공연/영화,CGV,-39500,KRW,어피치 스윗 체크카드,,P082,P082-T0040,소비,P082-CARD-02,card/카드-008-어피치_스윗_체크카드_승인내역.json#AP082000007;card/카드-014-어피치_스윗_체크카드_매입정보.json#AP082000007
2026-06-28,17:17,이체,저축,예적금/청약,적금 자동이체,-370000,KRW,카카오뱅크 입출금통장,,P082,P082-T0008,저축,P082-BANK-MAIN->P082-BANK-SAVE,bank/은행-004-카카오뱅크_입출금통장_P082-BANK-MAIN.json#BP08200006;bank/은행-004-비상금_통장_P082-BANK-SAVE.json#BP08200001
2026-06-28,14:12,지출,생활,서비스구독,넷플릭스,-27200,KRW,신한 Deep Dream 체크,,P082,P082-T0071,소비,P082-CARD-01,card/카드-008-신한_Deep_Dream_체크_승인내역.json#AP082000023;card/카드-014-신한_Deep_Dream_체크_매입정보.json#AP082000023
2026-06-28,11:33,지출,생활,서비스구독,챗GPT,-67800,KRW,카카오페이 간편결제,,P082,P082-T0054,소비,P082-카카오페이,efinance/전금-103-카카오페이.json#EP082카00007
2026-06-27,21:49,지출,온라인쇼핑,인터넷쇼핑,네이버쇼핑,-41100,KRW,어피치 스윗 체크카드,,P082,P082-T0068,소비,P082-CARD-02,card/카드-008-어피치_스윗_체크카드_승인내역.json#AP082000015;card/카드-014-어피치_스윗_체크카드_매입정보.json#AP082000015
2026-06-27,10:45,지출,온라인쇼핑,인터넷쇼핑,오늘의집,-55600,KRW,카카오뱅크 입출금통장,,P082,P082-T0112,소비,P082-BANK-MAIN,bank/은행-004-카카오뱅크_입출금통장_P082-BANK-MAIN.json#BP08200019
2026-06-26,22:50,지출,생활,마트,홈플러스,-62200,KRW,신한 Deep Dream 체크,,P082,P082-T0046,소비,P082-CARD-01,card/카드-008-신한_Deep_Dream_체크_승인내역.json#AP082000016;card/카드-014-신한_Deep_Dream_체크_매입정보.json#AP082000016
2026-06-26,19:24,지출,교통,대중교통,모바일티머니,-27500,KRW,카카오페이 간편결제,,P082,P082-T0123,소비,P082-카카오페이,efinance/전금-103-카카오페이.json#EP082카00017
2026-06-26,18:40,지출,교통,택시,아이엠택시,-25400,KRW,신한 Deep Dream 체크,,P082,P082-T0126,소비,P082-CARD-01,card/카드-008-신한_Deep_Dream_체크_승인내역.json#AP082000045;card/카드-014-신한_Deep_Dream_체크_매입정보.json#AP082000045
2026-06-26,13:11,지출,패션/쇼핑,패션,무신사,-97500,KRW,신한 Deep Dream 체크,,P082,P082-T0029,소비,P082-CARD-01,card/카드-008-신한_Deep_Dream_체크_승인내역.json#AP082000009;card/카드-014-신한_Deep_Dream_체크_매입정보.json#AP082000009
2026-06-26,10:31,지출,패션/쇼핑,패션,무신사,-65700,KRW,신한 Deep Dream 체크,,P082,P082-T0058,소비,P082-CARD-01,card/카드-008-신한_Deep_Dream_체크_승인내역.json#AP082000018;card/카드-014-신한_Deep_Dream_체크_매입정보.json#AP082000018
2026-06-26,08:32,지출,식비,한식,김밥천국 홍대점,-13200,KRW,카카오페이 간편결제,,P082,P082-T0045,소비,P082-카카오페이,efinance/전금-103-카카오페이.json#EP082카00004
2026-06-25,12:53,지출,카페/간식,디저트/떡,던킨,-5300,KRW,신한 Deep Dream 체크,,P082,P082-T0129,소비,P082-CARD-01,card/카드-008-신한_Deep_Dream_체크_승인내역.json#AP082000046;card/카드-014-신한_Deep_Dream_체크_매입정보.json#AP082000046
2026-06-25,08:12,이체,저축,예적금/청약,비상금 이체,-130000,KRW,카카오뱅크 입출금통장,,P082,P082-T0010,저축,P082-BANK-MAIN->P082-BANK-SAVE,bank/은행-004-카카오뱅크_입출금통장_P082-BANK-MAIN.json#BP08200008;bank/은행-004-비상금_통장_P082-BANK-SAVE.json#BP08200002
2026-06-24,19:10,지출,교통,택시,카카오T 택시,-12200,KRW,신한 Deep Dream 체크,,P082,P082-T0085,소비,P082-CARD-01,card/카드-008-신한_Deep_Dream_체크_승인내역.json#AP082000029;card/카드-014-신한_Deep_Dream_체크_매입정보.json#AP082000029
2026-06-24,09:32,수입,근로소득,급여,6월 월급,3300000,KRW,카카오뱅크 입출금통장,,P082,P082-T0001,소득,P082-BANK-MAIN,bank/은행-004-카카오뱅크_입출금통장_P082-BANK-MAIN.json#PAYP082
2026-06-23,23:05,지출,생활,서비스구독,넷플릭스,-46700,KRW,토스 간편결제,,P082,P082-T0076,소비,P082-토스페이,efinance/전금-103-토스페이.json#EP082토00006
2026-06-23,18:12,지출,뷰티/미용,화장품,올리브영,-53200,KRW,신한 Deep Dream 체크,,P082,P082-T0084,소비,P082-CARD-01,card/카드-008-신한_Deep_Dream_체크_승인내역.json#AP082000028;card/카드-014-신한_Deep_Dream_체크_매입정보.json#AP082000028
2026-06-23,18:00,지출,카페/간식,디저트/떡,배스킨라빈스,-6300,KRW,어피치 스윗 체크카드,,P082,P082-T0077,소비,P082-CARD-02,card/카드-008-어피치_스윗_체크카드_승인내역.json#AP082000017;card/카드-014-어피치_스윗_체크카드_매입정보.json#AP082000017
2026-06-23,16:49,지출,뷰티/미용,화장품,아모레몰,-39500,KRW,신한 Deep Dream 체크,,P082,P082-T0034,소비,P082-CARD-01,card/카드-008-신한_Deep_Dream_체크_승인내역.json#AP082000011;card/카드-014-신한_Deep_Dream_체크_매입정보.json#AP082000011
2026-06-23,13:50,지출,카페/간식,디저트/떡,던킨,-9300,KRW,토스 간편결제,,P082,P082-T0125,소비,P082-토스페이,efinance/전금-103-토스페이.json#EP082토00011
2026-06-23,13:44,지출,생활,서비스구독,멜론,-16600,KRW,토스 간편결제,,P082,P082-T0092,소비,P082-토스페이,efinance/전금-103-토스페이.json#EP082토00009
2026-06-23,12:32,지출,온라인쇼핑,인터넷쇼핑,쿠팡,-100600,KRW,카카오페이 간편결제,,P082,P082-T0101,소비,P082-카카오페이,efinance/전금-103-카카오페이.json#EP082카00015
2026-06-22,20:15,지출,뷰티/미용,화장품,아모레몰,-60500,KRW,신한 Deep Dream 체크,,P082,P082-T0039,소비,P082-CARD-01,card/카드-008-신한_Deep_Dream_체크_승인내역.json#AP082000015;card/카드-014-신한_Deep_Dream_체크_매입정보.json#AP082000015
2026-06-22,15:19,지출,뷰티/미용,화장품,올리브영,-16900,KRW,신한 Deep Dream 체크,,P082,P082-T0033,소비,P082-CARD-01,card/카드-008-신한_Deep_Dream_체크_승인내역.json#AP082000010;card/카드-014-신한_Deep_Dream_체크_매입정보.json#AP082000010
2026-06-21,21:33,지출,식비,배달,주식회사 우아한형제들,-21800,KRW,카카오뱅크 입출금통장,,P082,P082-T0044,소비,P082-BANK-MAIN,bank/은행-004-카카오뱅크_입출금통장_P082-BANK-MAIN.json#BP08200014
2026-06-21,21:10,지출,온라인쇼핑,인터넷쇼핑,11번가,-100300,KRW,네이버페이 간편결제,,P082,P082-T0080,소비,P082-네이버페이,efinance/전금-103-네이버페이.json#EP082네00003
2026-06-21,20:58,지출,카페/간식,디저트/떡,던킨,-3500,KRW,카카오페이 간편결제,,P082,P082-T0035,소비,P082-카카오페이,efinance/전금-103-카카오페이.json#EP082카00003
2026-06-21,10:48,지출,생활,편의점,CU,-71300,KRW,카카오페이 간편결제,,P082,P082-T0031,소비,P082-카카오페이,efinance/전금-103-카카오페이.json#EP082카00002;efinance/전금-004-카카오페이_머니.json#WP08200002
2026-06-20,22:21,지출,문화/여가,공연/영화,메가박스,-30300,KRW,네이버페이 간편결제,,P082,P082-T0115,소비,P082-네이버페이,efinance/전금-103-네이버페이.json#EP082네00004
2026-06-20,21:14,지출,카페/간식,커피/음료,메가MGC커피,-8400,KRW,어피치 스윗 체크카드,,P082,P082-T0067,소비,P082-CARD-02,card/카드-008-어피치_스윗_체크카드_승인내역.json#AP082000014;card/카드-014-어피치_스윗_체크카드_매입정보.json#AP082000014
2026-06-20,13:32,지출,식비,한식,김밥천국 홍대점,-19100,KRW,신한 Deep Dream 체크,,P082,P082-T0107,소비,P082-CARD-01,card/카드-008-신한_Deep_Dream_체크_승인내역.json#AP082000036;card/카드-014-신한_Deep_Dream_체크_매입정보.json#AP082000036
2026-06-20,12:53,지출,패션/쇼핑,패션,지그재그,-74600,KRW,카카오뱅크 입출금통장,,P082,P082-T0049,소비,P082-BANK-MAIN,bank/은행-004-카카오뱅크_입출금통장_P082-BANK-MAIN.json#BP08200015
2026-06-19,23:05,지출,온라인쇼핑,인터넷쇼핑,쿠팡,-81400,KRW,카카오페이 간편결제,,P082,P082-T0082,소비,P082-카카오페이,efinance/전금-103-카카오페이.json#EP082카00011
2026-06-19,20:11,지출,온라인쇼핑,인터넷쇼핑,무신사,-60400,KRW,어피치 스윗 체크카드,,P082,P082-T0032,소비,P082-CARD-02,card/카드-008-어피치_스윗_체크카드_승인내역.json#AP082000006;card/카드-014-어피치_스윗_체크카드_매입정보.json#AP082000006
2026-06-19,19:27,지출,교통,택시,아이엠택시,-23600,KRW,신한 Deep Dream 체크,,P082,P082-T0036,소비,P082-CARD-01,card/카드-008-신한_Deep_Dream_체크_승인내역.json#AP082000012;card/카드-014-신한_Deep_Dream_체크_매입정보.json#AP082000012
